brand,num_items,head_top20_items,tail_bottom80_items,mean_interactions,total_interactions
The Savannah Bee Company,2,1,1,21.0,42
Feather,7,2,5,6.0,42
Marble Medical,15,2,13,2.8,42
Evsco Pharmaceuticals,1,1,0,42.0,42
de Fabulous,25,0,25,1.68,42
Degree,12,2,10,3.5,42
Condition 3-in-1,8,2,6,5.25,42
Unilever Bestfoods,5,1,4,8.4,42
IlluMask,1,1,0,42.0,42
Q-Buffers,2,1,1,21.0,42
Bask,6,4,2,7.0,42
Diptyque,23,1,22,1.826086956521739,42
Vermont Soap,15,1,14,2.8,42
Nature&#39;s Blessing,2,2,0,21.0,42
Grandpa&#39;s Soap Co.,3,2,1,14.0,42
Giovanni Cosmetics,19,1,18,2.210526315789474,42
BOBOS,7,2,5,6.0,42
Walker Tape Company,5,2,3,8.4,42
Kent Brushes,10,2,8,4.2,42
Adem,4,2,2,10.5,42
Andes Nature,3,2,1,14.0,42
BodyPure,1,1,0,42.0,42
Heidi Klum,4,2,2,10.5,42
Pro Touch,1,1,0,42.0,42
LunaStar,7,3,4,6.0,42
Balanceuticals,5,2,3,8.4,42
Organyc,3,1,2,14.0,42
Pharmax,6,3,3,7.0,42
Mistral LLC,4,2,2,10.5,42
Packers,2,2,0,21.0,42
Gabriella,2,1,1,21.0,42
ME! Bath,19,1,18,2.210526315789474,42
MEDca,1,1,0,42.0,42
Kalon Clothing,1,1,0,42.0,42
Lantiseptic,4,2,2,10.5,42
Church &amp; Dwight,4,2,2,10.5,42
Vital Basics,1,1,0,42.0,42
Soft &amp; Beautiful,12,2,10,3.5,42
DermaSet,1,1,0,42.0,42
Puritan&#39;s Pride,5,1,4,8.4,42
La Cross,6,2,4,7.0,42
Paul Mitchell Tea Tree Lavender Mint Moisturizing Shampoo and Conditioner Duo,1,1,0,42.0,42
BioSwiss,10,3,7,4.2,42
Parfums Gal,4,3,1,10.5,42
Michel Mercier Detangling Brush for Thick Hair,1,1,0,42.0,42
Loewe,18,0,18,2.3333333333333335,42
Jads International,4,3,1,10.25,41
Alto Bella,17,1,16,2.411764705882353,41
Moisturel,2,1,1,20.5,41
Harmony Gelish,18,1,17,2.2777777777777777,41
Lightstim,2,2,0,20.5,41
Beardsley,2,2,0,20.5,41
ProExtensions,9,2,7,4.555555555555555,41
Jensen,4,2,2,10.25,41
Nixoderm,3,1,2,13.666666666666666,41
Porcelana,4,2,2,10.25,41
Merben International,3,2,1,13.666666666666666,41
d:fi,2,1,1,20.5,41
Olympian Lab,5,2,3,8.2,41
Peter Lamas,14,2,12,2.9285714285714284,41
Balmex,1,1,0,41.0,41
Edge,4,2,2,10.25,41
SDC Nutrition,1,1,0,41.0,41
Larline,1,1,0,41.0,41
Bathhouse Naturals,1,1,0,41.0,41
Just Knotted,1,1,0,41.0,41
Pretty Nails,4,2,2,10.25,41
Chamois,1,1,0,41.0,41
POND,3,1,2,13.666666666666666,41
Tool Structure,12,2,10,3.4166666666666665,41
Toe Juice,1,1,0,41.0,41
BBQbuy,2,1,1,20.5,41
Essence Narciso Rodriguez,4,2,2,10.25,41
P3,1,1,0,41.0,41
Duffy&#39;s Brew,1,1,0,41.0,41
Beauty Makeup,13,2,11,3.1538461538461537,41
Baby Quasar,2,2,0,20.5,41
FASH Limited,2,2,0,20.5,41
Etailer360,10,1,9,4.1,41
Alaska Glacia Mud Co.,1,1,0,40.0,40
Sophiababywang,4,3,1,10.0,40
Baronessa Cali,10,2,8,4.0,40
White Rain,17,1,16,2.3529411764705883,40
White Mountain,2,1,1,20.0,40
Tints of Nature,3,1,2,13.333333333333334,40
come 2 buy,1,1,0,40.0,40
Crazylibellule and the Poppies,8,3,5,5.0,40
Fabrikators,1,1,0,40.0,40
HalalEveryDay,1,1,0,40.0,40
ROYALL,2,2,0,20.0,40
No Brand,3,1,2,13.333333333333334,40
Pure Life Soap Co,7,2,5,5.714285714285714,40
African Angel,9,2,7,4.444444444444445,40
Body Benefits,2,1,1,20.0,40
Soleo Organics,1,1,0,40.0,40
CS,1,1,0,40.0,40
FX Wild Harvest Hair,3,3,0,13.333333333333334,40
Skin so soft,1,1,0,40.0,40
Nano Cyclic,6,2,4,6.666666666666667,40
Emerald Bay,7,2,5,5.714285714285714,40
BEAUTYKO,5,1,4,8.0,40
Infinity Sun,1,1,0,40.0,40
Heel Inc.,3,1,2,13.333333333333334,40
Pedifix (a),1,1,0,40.0,40
Asepxia,8,3,5,5.0,40
Warner,1,1,0,40.0,40
Tuvache,3,1,2,13.333333333333334,40
Sonne&#39;s,4,1,3,10.0,40
Priori,19,1,18,2.1052631578947367,40
James Bond,9,1,8,4.444444444444445,40
Village Naturals Aromatherapy,4,1,3,10.0,40
Mozark Products,1,1,0,40.0,40
uxcell,7,3,4,5.714285714285714,40
Proactiv Solution Oil-free Moisture Spf15,1,1,0,39.0,39
Shaan Honq NPPE,1,1,0,39.0,39
JONATHAN,4,1,3,9.75,39
Teez w/ eez,1,1,0,39.0,39
OCC Obsessive Compulsive Cosmetics,1,1,0,39.0,39
Bellabaci,2,1,1,19.5,39
Groom &amp; Clean,2,2,0,19.5,39
Oleg Cassini,6,2,4,6.5,39
Nature&#39;s Beauty,12,1,11,3.25,39
Xtreme Lashes,13,0,13,3.0,39
Seven &#39;til Midnight,5,1,4,7.8,39
unbrand,3,2,1,13.0,39
Le Salon,4,2,2,9.75,39
Stetson,7,2,5,5.571428571428571,39
Kendall/Covidien,5,1,4,7.8,39
Jheri Redding,7,1,6,5.571428571428571,39
Beautisol,3,3,0,13.0,39
HairSoReal,1,1,0,39.0,39
Smoothing,1,1,0,39.0,39
InfusiumPro23,2,2,0,19.5,39
Vector,1,1,0,39.0,39
Dl Professional Nail Polish Display Rack - Empty,1,1,0,39.0,39
Mimic,1,1,0,39.0,39
SoapRocks,12,1,11,3.25,39
Dr. Judith Hellman,4,3,1,9.75,39
Ursa Major,5,4,1,7.8,39
Vanilla Musk,1,1,0,39.0,39
Purvana Max,1,1,0,39.0,39
Marina de Bourbon,12,2,10,3.25,39
Red Flower,16,0,16,2.4375,39
The Tea Nation,2,2,0,19.5,39
La Bella Donna,13,1,12,3.0,39
Liz Wig,5,2,3,7.8,39
Sappo Hill,8,3,5,4.875,39
Welforth,20,1,19,1.95,39
Black Radiance,26,0,26,1.5,39
Gisguys,6,2,4,6.5,39
PCA ADVANCED SKIN CARE,5,2,3,7.8,39
The Naked Bee 5.5 oz (163 ml.),1,1,0,39.0,39
Cogit,1,1,0,39.0,39
BBW Aromatherapy,1,1,0,39.0,39
Rock Your Hair,7,3,4,5.571428571428571,39
Aphrodite Cosmetics,9,2,7,4.333333333333333,39
April Bath &amp; Shower,10,2,8,3.9,39
Lakme,18,2,16,2.1666666666666665,39
Purity Cosmetics,1,1,0,39.0,39
Checi,9,2,7,4.333333333333333,39
Mommy Care,2,1,1,19.5,39
Wink-Ease,1,1,0,39.0,39
Jordin Sparks,3,2,1,13.0,39
Blue Moon,1,1,0,39.0,39
Acnevir,2,2,0,19.5,39
BlueAvocado,5,2,3,7.8,39
KARDASHIAN GLOW,2,2,0,19.5,39
Bella Il Fiore,11,1,10,3.5454545454545454,39
Boe Coesmtics,1,1,0,38.0,38
Stephan,2,1,1,19.0,38
Zilactin,1,1,0,38.0,38
MJ CARE,2,1,1,19.0,38
Bald Guyz,1,1,0,38.0,38
Goldwell USA,9,1,8,4.222222222222222,38
Lydia Pinkham,1,1,0,38.0,38
Herpecin-L,1,1,0,38.0,38
Facial Facade,4,1,3,9.5,38
Dejavu Fiberwig,2,2,0,19.0,38
VO5,10,2,8,3.8,38
Cellulean,2,2,0,19.0,38
MedGlider,1,1,0,38.0,38
Lottabody,9,2,7,4.222222222222222,38
Parian Spirit,4,3,1,9.5,38
"Blige,Mary J",4,2,2,9.5,38
GNC,10,2,8,3.8,38
Marmol &amp; Son,11,1,10,3.4545454545454546,38
Duri,3,3,0,12.666666666666666,38
Helia-D,8,2,6,4.75,38
Heritage Store (HEZD9),3,1,2,12.666666666666666,38
Cuore,3,1,2,12.666666666666666,38
Emeraude,6,2,4,6.333333333333333,38
Olymstore,7,1,6,5.428571428571429,38
SHEENROAD,2,2,0,19.0,38
Virbac,1,1,0,38.0,38
21 Bridal Accessories,3,2,1,12.666666666666666,38
Aquatopia Microdry,1,1,0,38.0,38
Clearskin,1,1,0,38.0,38
Smith &amp; Nephew,14,1,13,2.642857142857143,37
Nail Savers,4,2,2,9.25,37
Zydot,2,1,1,18.5,37
GLH,5,3,2,7.4,37
bobo,1,1,0,37.0,37
Serie Expert,5,2,3,7.4,37
Jao,1,1,0,37.0,37
DZNuts,1,1,0,37.0,37
VB Beauty,3,2,1,12.333333333333334,37
Krew,3,2,1,12.333333333333334,37
JMK,1,1,0,37.0,37
Biggs &amp; Featherbelle,14,1,13,2.642857142857143,37
Robert Piquet,7,1,6,5.285714285714286,37
Slice Of Life,2,2,0,18.5,37
Supertape,3,2,1,12.333333333333334,37
MOR,19,1,18,1.9473684210526316,37
REDFO,2,2,0,18.5,37
Luftballon Mio Craft,16,1,15,2.3125,37
Viobin,2,1,1,18.5,37
Boyfriend,5,2,3,7.4,37
Boutique Cutie,3,3,0,12.333333333333334,37
Jadience,11,2,9,3.3636363636363638,37
Barbar,9,1,8,4.111111111111111,37
3D,3,2,1,12.333333333333334,37
Radiancy,2,1,1,18.5,37
Roots Of Nature,6,2,4,6.166666666666667,37
Folligen,7,2,5,5.285714285714286,37
Devoted Creations Tanning Lotion,5,2,3,7.4,37
Gianna Rose,17,0,17,2.176470588235294,37
Canali,6,2,4,6.166666666666667,37
Salon Elite,1,1,0,37.0,37
My Spots Are Consealed,2,1,1,18.5,37
Niegeloh,7,2,5,5.285714285714286,37
Eylure,19,0,19,1.9473684210526316,37
Baby Don&#39;t Be Bald,11,2,9,3.3636363636363638,37
Gaiam,1,1,0,37.0,37
AINHOA,1,1,0,37.0,37
bareMinerals bareSkin,6,4,2,6.166666666666667,37
American Biotech Labs,3,2,1,12.333333333333334,37
Home Goods,1,1,0,37.0,37
Little Twig,11,2,9,3.3636363636363638,37
The Wet,8,2,6,4.625,37
Nutrihealth One,1,1,0,37.0,37
William Marvy,8,1,7,4.625,37
San Francisco Soap Company,13,1,12,2.8461538461538463,37
Sannysis,5,3,2,7.4,37
Seacret(tm),2,2,0,18.5,37
Paul Sabastian,4,1,3,9.25,37
Nicole Richie,4,2,2,9.25,37
Secret of the Islands,2,1,1,18.5,37
Bath Boutique,3,2,1,12.333333333333334,37
Peepers,3,1,2,12.333333333333334,37
Mason Vitamins,1,1,0,36.0,36
TRESFLORES,1,1,0,36.0,36
Beauty Collection,2,2,0,18.0,36
Avon Solutions Nutura,1,1,0,36.0,36
Mena Extra white,2,1,1,18.0,36
SwimSpray,1,1,0,36.0,36
Eye Scrub,3,2,1,12.0,36
Frontier,3,2,1,12.0,36
SENGANSENKA,1,1,0,36.0,36
crystalcity-6662,2,1,1,18.0,36
Sorme,11,1,10,3.272727272727273,36
Serina&#39;s Bow Tiq,8,1,7,4.5,36
Twisted Sista,8,2,6,4.5,36
RoyalCraft TM,1,1,0,36.0,36
Affinage Salon Professional,12,1,11,3.0,36
Megurism,1,1,0,36.0,36
ZPC Zenith Products Corporation,4,1,3,9.0,36
Hidden Fantasy Britney Spears,1,1,0,36.0,36
HuntGold,5,3,2,7.2,36
Hilary Duff,9,1,8,4.0,36
Deva Vegan Vitamins,3,3,0,12.0,36
Romane,2,2,0,18.0,36
Hand Made in Spain,2,2,0,18.0,36
Elegant Brushes,11,3,8,3.272727272727273,36
Jessica Nail Gel Polish System,13,1,12,2.769230769230769,36
Iceberg,8,1,7,4.5,36
Isagenix,2,2,0,18.0,36
Physiodermie,14,1,13,2.5714285714285716,36
Enjoydeal,1,1,0,36.0,36
Classified Cosmetics,2,1,1,18.0,36
Raspex,2,1,1,18.0,36
XIUstyle,1,1,0,36.0,36
COCOCHOCO,8,1,7,4.5,36
Swag Brewery,2,1,1,18.0,36
Retro Hair,18,0,18,2.0,36
Immuderm,1,1,0,36.0,36
Skin2Spirit,1,1,0,36.0,36
Gly-Oxide,1,1,0,36.0,36
Glycolix,4,1,3,9.0,36
Belson Pro,1,1,0,36.0,36
Oshima Tsubaki,1,1,0,36.0,36
Monticello,1,1,0,36.0,36
Osaka,5,2,3,7.2,36
Cailyn Cosmetics,13,2,11,2.769230769230769,36
TMS Wholesale Inc.,2,1,1,18.0,36
Fair &amp; Lovely,9,1,8,4.0,36
Nail Genie,7,2,5,5.0,35
Astara,9,1,8,3.888888888888889,35
Rasta,2,2,0,17.5,35
Provillus,3,2,1,11.666666666666666,35
A.I.I. CLUBMAN,3,2,1,11.666666666666666,35
BeWild,2,1,1,17.5,35
J. Del Pozo,8,2,6,4.375,35
sofn&#39;free,7,1,6,5.0,35
towallmark,8,2,6,4.375,35
Pro K,1,1,0,35.0,35
MJ&#39;s Crafts &amp; More,4,2,2,8.75,35
MD,3,1,2,11.666666666666666,35
Mia Beauty,8,2,6,4.375,35
HOLLYWOOD,1,1,0,35.0,35
COKA,1,1,0,35.0,35
Playtex,4,1,3,8.75,35
Nerium Firm,1,1,0,35.0,35
LTL,3,2,1,11.666666666666666,35
Keratin Complex Smoothing Therapy by Coppola,10,2,8,3.5,35
Kera Pro,5,2,3,7.0,35
Lift Care,2,1,1,17.5,35
Artistic Nail Design,19,1,18,1.8421052631578947,35
Giorgio Valenti,10,2,8,3.5,35
Verrakbel,1,1,0,35.0,35
Salon Shoppe,1,1,0,35.0,35
Ilana Jivago,5,2,3,7.0,35
Lipcote,1,1,0,35.0,35
Belo Essentials,3,2,1,11.666666666666666,35
47krate,5,1,4,7.0,35
Trussardi,11,1,10,3.1818181818181817,35
Rocky Mountain Sunscreen,4,2,2,8.75,35
Cofinluxe,12,1,11,2.9166666666666665,35
sea breeze,1,1,0,35.0,35
Better Sleep,1,1,0,35.0,35
Lava Flo,6,1,5,5.833333333333333,35
Majestic Earth,1,1,0,35.0,35
Deja Vu,7,2,5,5.0,35
Love Scent,2,1,1,17.5,35
Beading Station,3,2,1,11.666666666666666,35
Petits Et Mamans,1,1,0,35.0,35
Scotch&reg;,16,0,16,2.1875,35
PNI,1,1,0,35.0,35
Mitchell&#39;s Wool Fat Soap,1,1,0,35.0,35
African Formula,7,2,5,5.0,35
La Rosa,11,0,11,3.1818181818181817,35
La Maison de la Vanille,7,3,4,5.0,35
Aesop,19,0,19,1.8421052631578947,35
Dermaheal Cosmeceuticals,10,2,8,3.5,35
Sea Essentials,1,1,0,35.0,35
KAO Liese,7,2,5,5.0,35
Tattoo Goo,3,3,0,11.666666666666666,35
Bellmira Body Care,3,2,1,11.666666666666666,35
Top Secret Nutrition,3,1,2,11.666666666666666,35
Cherishlook,7,3,4,5.0,35
Tammy Taylor,14,0,14,2.4285714285714284,34
Relaxus,7,3,4,4.857142857142857,34
Radius,1,1,0,34.0,34
Ammens,1,1,0,34.0,34
Daiso Japan,6,2,4,5.666666666666667,34
Eva Longoria,4,1,3,8.5,34
Komenuka Bijin,9,2,7,3.7777777777777777,34
Estelle Vendome,6,1,5,5.666666666666667,34
Savex,2,2,0,17.0,34
CARMA LABORATORIES INC.,1,1,0,34.0,34
PT,2,2,0,17.0,34
KERASTASE,1,1,0,34.0,34
hydroxatone,1,1,0,34.0,34
iso hair irons,4,2,2,8.5,34
Life of the Party,8,1,7,4.25,34
BeautyYu,3,2,1,11.333333333333334,34
Eskinol,3,1,2,11.333333333333334,34
The Scottish Fine Soaps Company,9,1,8,3.7777777777777777,34
Daddy Yankee,3,1,2,11.333333333333334,34
Secret of the Himalayan,6,1,5,5.666666666666667,34
Skin Tight,6,1,5,5.666666666666667,34
Bullfrog / Chattem,3,2,1,11.333333333333334,34
Simply Divine Botanicals,8,3,5,4.25,34
Rozge Cosmeceutical,3,2,1,11.333333333333334,34
GREAT LAKES WHOLESALE,3,2,1,11.333333333333334,34
Thann,8,2,6,4.25,34
AquaBella,1,1,0,34.0,34
Lamaur,9,1,8,3.7777777777777777,34
Zion Health,15,1,14,2.2666666666666666,34
NewGel+,2,2,0,17.0,34
EmerginC,18,0,18,1.8888888888888888,34
Devita Rx,5,1,4,6.8,34
LaCroy Chemical,3,1,2,11.333333333333334,34
No Lift Nails,5,2,3,6.8,34
XWTECH,5,1,4,6.8,34
Sudzz,11,1,10,3.090909090909091,34
Rain,5,2,3,6.8,34
Revere,3,1,2,11.333333333333334,34
j.f. lazartigue,20,0,20,1.7,34
Salon Sciences,2,2,0,17.0,34
Penguin,2,1,1,17.0,34
Miss Silver Nail Products,5,2,3,6.8,34
LashFood,6,2,4,5.666666666666667,34
Kuza,5,1,4,6.8,34
Herbs America,2,2,0,17.0,34
Steins,3,2,1,11.333333333333334,34
Joey New York,8,1,7,4.25,34
Nicel,4,2,2,8.5,34
Sunshine Spa,5,1,4,6.8,34
Canway,1,1,0,34.0,34
Creative Mirror,1,1,0,34.0,34
Sun &amp; Earth,4,2,2,8.5,34
SOL REPUBLIC,1,1,0,33.0,33
Vivant Skin Care,11,0,11,3.0,33
Vival La Juicy,2,1,1,16.5,33
Expo International,6,2,4,5.5,33
JV Kohl,4,2,2,8.25,33
Cricket Pro,6,1,5,5.5,33
Oilatum,4,2,2,8.25,33
bebe,10,1,9,3.3,33
BWL,3,3,0,11.0,33
Sojourn Beauty,8,3,5,4.125,33
Preferred Fragrance,5,1,4,6.6,33
Freida Joe,4,2,2,8.25,33
Arganesse,1,1,0,33.0,33
SDBING&reg;,1,1,0,33.0,33
Principal Secret,4,2,2,8.25,33
Kiss Me,7,1,6,4.714285714285714,33
Library of Flowers,19,0,19,1.736842105263158,33
GINSENG N-R-G,1,1,0,33.0,33
Radha 100% Pure Beauty Products,1,1,0,33.0,33
Comfort Zone,12,1,11,2.75,33
EAU Thermale Avene,2,1,1,16.5,33
Africare,3,1,2,11.0,33
Thavornshop,4,2,2,8.25,33
Safety 1st,3,1,2,11.0,33
Earthly Essentials,1,1,0,33.0,33
Selsun Naturals,1,1,0,33.0,33
kamill,10,2,8,3.3,33
Lauren Brooke Cosmetiques,6,3,3,5.5,33
Murad Hair Care,2,1,1,16.5,33
They Hate Pimples,1,1,0,33.0,33
Cyprustech,1,1,0,33.0,33
Kerodex,2,2,0,16.5,33
Express,9,1,8,3.6666666666666665,33
Moroccan Oil Moisture Repair Shampoo 16.9 oz.,1,1,0,33.0,33
Brushlab,1,1,0,33.0,33
Stiefel Labs,3,1,2,11.0,33
Love Your Color By Cosamo,8,2,6,4.125,33
Truefitt &amp; Hill,12,1,11,2.75,33
Perfumes of Hawaii,8,2,6,4.125,33
Sta-Sof-Fro,6,2,4,5.5,33
Wash &#39;N Curl,2,2,0,16.5,33
Best of Nature,7,1,6,4.714285714285714,33
PA AMINO,1,1,0,33.0,33
Pearl iZUMi,1,1,0,33.0,33
Kardashian Glow Moisturizer,1,1,0,33.0,33
Lornamead,4,1,3,8.25,33
2nd Love,8,2,6,4.125,33
Aunt Jackie,3,2,1,11.0,33
Tcb,8,2,6,4.125,33
Profiles,3,1,2,11.0,33
Beistle,14,0,14,2.357142857142857,33
VERSACE YELLOW DIAMOND,2,1,1,16.0,32
CANDURE,1,1,0,32.0,32
Alagio,8,0,8,4.0,32
Scott Barnes,3,1,2,10.666666666666666,32
South Beach,1,1,0,32.0,32
DSE Healthcare Solutions,2,1,1,16.0,32
95 &amp; Sunny,5,3,2,6.4,32
4 Naturals,8,1,7,4.0,32
Aristocrat,9,2,7,3.5555555555555554,32
CLEAR QUICK,4,2,2,8.0,32
France Luxe,2,1,1,16.0,32
Wonder,3,1,2,10.666666666666666,32
Monistat,1,1,0,32.0,32
"Green Soaop Tincture, 16 OZ",1,1,0,32.0,32
Meridian Point,2,1,1,16.0,32
Naruko,15,2,13,2.1333333333333333,32
FlexNow,1,1,0,32.0,32
Guthy-Renker,4,4,0,8.0,32
Colonial Dames,2,1,1,16.0,32
Wave Nouveau,3,1,2,10.666666666666666,32
The Sassy Collection,1,1,0,32.0,32
Batiste Dry Shampoo,1,1,0,32.0,32
BlueAvocado-Ross Bennett,3,1,2,10.666666666666666,32
Patti LaBelle,3,2,1,10.666666666666666,32
Jean Couturier,8,1,7,4.0,32
Mr. Pumice,10,1,9,3.2,32
Strap N Guard Accessories,3,1,2,10.666666666666666,32
Bio Nutrition,10,1,9,3.2,32
Skindinavia,10,1,9,3.2,32
Pelican,3,2,1,10.666666666666666,32
Keys Care,3,2,1,10.666666666666666,32
GMBSHair,12,1,11,2.6666666666666665,32
BR&Ouml;&Ouml;,7,1,6,4.571428571428571,32
By Terry,21,0,21,1.5238095238095237,32
Stone Labs,4,2,2,8.0,32
Titan by 3rd Power Outlet,2,2,0,16.0,32
Biotera,17,0,17,1.8823529411764706,32
Juliette Has A Gun,7,2,5,4.571428571428571,32
Top Plaza,3,3,0,10.666666666666666,32
Broadway,16,0,16,2.0,32
KuangLung,2,2,0,16.0,32
GordonGlass,2,2,0,16.0,32
Crusader,2,2,0,16.0,32
Sponge Producers,2,1,1,16.0,32
Sponge Producers Naturals,1,1,0,32.0,32
Health and Wisdom,4,2,2,8.0,32
Health and Beauty Dead Sea,15,1,14,2.1333333333333333,32
Nicedeco,23,0,23,1.391304347826087,32
Roll &#39;N Go,1,1,0,32.0,32
Organic India,4,2,2,8.0,32
Laid In Montana,13,0,13,2.4615384615384617,32
K-Palette,12,1,11,2.6666666666666665,32
Dr. Fred Summit,2,1,1,16.0,32
BestDealUSA,10,1,9,3.2,32
Lava,3,2,1,10.666666666666666,32
Unique Sports Accessories,8,1,7,4.0,32
Clip-Right&reg;,1,1,0,32.0,32
Sia Botanics,10,1,9,3.2,32
Magic Move,7,1,6,4.571428571428571,32
Cache,9,1,8,3.5555555555555554,32
Boiron,4,2,2,8.0,32
Chenille Kraft,2,2,0,16.0,32
Okay,12,1,11,2.6666666666666665,32
Relief MD,3,2,1,10.666666666666666,32
Fast Lash,1,1,0,32.0,32
Joico K-pak Color Therapy Shampoo &amp; Conditioner,1,1,0,32.0,32
EC Research,4,2,2,8.0,32
Belle1 Skincare,1,1,0,31.0,31
Artist&#39;s Choice,10,1,9,3.1,31
ELIZABETH ARDEN,7,2,5,4.428571428571429,31
The Fizzy Baker,5,1,4,6.2,31
Black and Gold,1,1,0,31.0,31
USTOP,3,1,2,10.333333333333334,31
Nutri-Ox,8,1,7,3.875,31
Oxygenetix,8,2,6,3.875,31
Essential Formulas,4,2,2,7.75,31
Nadinola,5,2,3,6.2,31
L&#39;Oreal Paris Hair Color,9,2,7,3.4444444444444446,31
Navajo,1,1,0,31.0,31
Krizia,11,1,10,2.8181818181818183,31
Kojie,4,2,2,7.75,31
MICABELLA NATURAL MINERALS MAKEUP,8,2,6,3.875,31
Masaki Matsushima,9,2,7,3.4444444444444446,31
Green Island Traders,3,1,2,10.333333333333334,31
Lilly Pulitzer for Estee Lauder,2,1,1,15.5,31
uYES Beauty,1,1,0,31.0,31
yarok,11,0,11,2.8181818181818183,31
Relastin,2,1,1,15.5,31
CLEAR TURN,8,2,6,3.875,31
RBEN,2,1,1,15.5,31
Botani Organics,1,1,0,31.0,31
Bigworld jewelry,1,1,0,31.0,31
Essential Medical Supply,2,1,1,15.5,31
lucky-biz,1,1,0,31.0,31
Salon Edge,2,1,1,15.5,31
niceroker,2,1,1,15.5,31
Waterworks,12,1,11,2.5833333333333335,31
UniqStore-Nail Art,2,2,0,15.5,31
Coconut Willie,1,1,0,31.0,31
Sunscreen towelettes by SunX,1,1,0,31.0,31
Summer Solutions,2,1,1,15.5,31
Diveevo,1,1,0,31.0,31
Neostrata,1,1,0,31.0,31
Sister Sky,6,1,5,5.166666666666667,31
Blue Cross Laboraties,1,1,0,31.0,31
Dr. Piercing&#39;s Aftercare,1,1,0,31.0,31
RA Cosmetics,9,1,8,3.4444444444444446,31
dudu osun black soap,1,1,0,31.0,31
Softsheen Carson,5,1,4,6.2,31
Mirabella,18,0,18,1.7222222222222223,31
Aramas,2,2,0,15.5,31
Attitude Line,12,1,11,2.5833333333333335,31
La Perla,12,0,12,2.5833333333333335,31
Aloe 80 Organics,1,1,0,31.0,31
Rapidcure,1,1,0,31.0,31
Raw Revolution,1,1,0,31.0,31
Beauty,18,0,18,1.7222222222222223,31
prAna,1,1,0,31.0,31
MT Skin System,1,1,0,31.0,31
Rexaline,2,1,1,15.5,31
Gabriela Sabatini,5,1,4,6.2,31
Beaut&eacute; de Paris,5,1,4,6.2,31
Jack Dean,5,2,3,6.2,31
Brit Style,2,2,0,15.5,31
Mary Kay Cosmetics,8,1,7,3.875,31
Bambo,1,1,0,30.0,30
Kwailnara,17,0,17,1.7647058823529411,30
Chaz Dean Studio,1,1,0,30.0,30
da Vinci Brushes,27,0,27,1.1111111111111112,30
Kracie(Kanebo Home Products),13,0,13,2.3076923076923075,30
FaceLift,6,1,5,5.0,30
Norell,2,1,1,15.0,30
pebco pro tools dryer,1,1,0,30.0,30
Footlogix,3,1,2,10.0,30
LORNAMEAD BRANDS INC.,1,1,0,30.0,30
Nailuv,3,1,2,10.0,30
Dew Puff,6,2,4,5.0,30
Nail Tips,1,1,0,30.0,30
Allstar Products,2,1,1,15.0,30
Spinning Hat,2,2,0,15.0,30
Loma Peartin,1,1,0,30.0,30
Nails Care,21,0,21,1.4285714285714286,30
Beauty Society,1,1,0,30.0,30
Beauty Town,8,1,7,3.75,30
Choice,7,2,5,4.285714285714286,30
Avril Lavigne,5,2,3,6.0,30
Minus 417,16,1,15,1.875,30
TAZO,2,2,0,15.0,30
Rasta Locks &amp; Twist,5,1,4,6.0,30
DSE,1,1,0,30.0,30
CHISUPPLY.COM,6,1,5,5.0,30
CHISUPPLY,1,1,0,30.0,30
Regal,2,2,0,15.0,30
blnkee,1,1,0,30.0,30
Matrix Men,4,2,2,7.5,30
T.S. Pink,7,1,6,4.285714285714286,30
Brock Beauty,1,1,0,30.0,30
Cadillac,6,2,4,5.0,30
Simply Right,5,2,3,6.0,30
IT&Atilde;&amp;#x2020;S A 10,1,1,0,30.0,30
Mandarina Duck,6,1,5,5.0,30
Dermal,5,2,3,6.0,30
COUVR&eacute;,1,1,0,30.0,30
Weleda Body Care,6,2,4,5.0,30
SunRise,16,0,16,1.875,30
Eyelash Store,3,1,2,10.0,30
Lise Watier,5,2,3,6.0,30
Ayurvedic Natural Fairness Cream,1,1,0,30.0,30
Metro Fulfillment House,1,1,0,30.0,30
Remedy,5,1,4,6.0,30
GKhair,8,1,7,3.75,30
Biodroga,18,0,18,1.6666666666666667,30
ATB,4,1,3,7.5,30
Love My Nails,1,1,0,30.0,30
Pedinol,1,1,0,30.0,30
Slice,6,2,4,5.0,30
black 15in1,6,2,4,5.0,30
Vita Liberata,11,2,9,2.727272727272727,30
Pride,2,1,1,15.0,30
Avon Clearskin,6,2,4,5.0,30
Comme des Garcons,13,0,13,2.3076923076923075,30
Dazzle DryTM,1,1,0,30.0,30
Tion,4,1,3,7.5,30
Pixiheart,7,1,6,4.285714285714286,30
Care Free Curl,6,2,4,5.0,30
Hollywood Gadgets,2,2,0,15.0,30
Lifebuoy Soap,1,1,0,30.0,30
XO Eco,1,1,0,30.0,30
Shea Moisture African Black Soap Deep Cleansing Shampoo - 13 oz.,1,1,0,30.0,30
Natura,9,0,9,3.3333333333333335,30
L. A. Colors,10,1,9,3.0,30
Kose Sekkisei,6,2,4,4.833333333333333,29
Expressions,6,2,4,4.833333333333333,29
Graham Field,8,1,7,3.625,29
studio basics,3,1,2,9.666666666666666,29
SAND &amp; SABLE,2,2,0,14.5,29
Spa Cosmetics,10,0,10,2.9,29
Ultra Glow,6,2,4,4.833333333333333,29
Creative Nail Design,9,0,9,3.2222222222222223,29
YoneLay,1,1,0,29.0,29
MoonGirlHair,1,1,0,29.0,29
